id_студента;priority;exam_score;achievement;bvi;contract;dormitory;foreign;gender;age;region;city;country;competition;Тип олимпиады;form;level;Тип законченного учреждения;benefit;direction;Наименование дисциплины;Оценка;Баллы;Количество пересдач
1;4;100;0;0;0;1;0;0;18;1;1;Российская Федерация;Основные места;ВОШ;Очная;Бакалавр;Школа;Нет;09.03.01;Иностранный язык;5;100;0
1;4;100;0;0;0;1;0;0;18;1;1;Российская Федерация;Основные места;ВОШ;Очная;Бакалавр;Школа;Нет;09.03.01;Информационные технологии и сервисы;4;70;2
1;4;100;0;0;0;1;0;0;18;1;1;Российская Федерация;Основные места;ВОШ;Очная;Бакалавр;Школа;Нет;09.03.01;История России;3;50;3
1;4;100;0;0;0;1;0;0;18;1;1;Российская Федерация;Основные места;ВОШ;Очная;Бакалавр;Школа;Нет;09.03.01;Математика;2;20;4
2;3;150;1;1;1;0;1;1;21;0;0;Федеративная Республика Германия;Отдельная квота;Не писал;Очная;Специалист;СПО;Сирота;09.03.02;Иностранный язык;2;20;4
2;3;150;1;1;1;0;1;1;21;0;0;Федеративная Республика Германия;Отдельная квота;Не писал;Очная;Специалист;СПО;Сирота;09.03.02;Информационные технологии и сервисы;3;50;3
2;3;150;1;1;1;0;1;1;21;0;0;Федеративная Республика Германия;Отдельная квота;Не писал;Очная;Специалист;СПО;Сирота;09.03.02;История России;4;70;2
2;3;150;1;1;1;0;1;1;21;0;0;Федеративная Республика Германия;Отдельная квота;Не писал;Очная;Специалист;СПО;Сирота;09.03.02;Математика;5;100;0
;;;;;;;;;;;;;;;;;;;;;;;
Пояснения к столбцам (удалить, перед отправкой файла на сайт);;;;;;;;;;;;;;;;;;;;;;;
id_студента;;Можно придумать любой id;;;;;;;;;;;;;;;;;;;;;
priority;[1, 8];приоритет выбранного направления обучения;;;;;;;;;;;;;;;;;;;;;
exam_score;[0, 300];;;;;;;;;;;;;;;;;;;;;;
achievement;[0, 10];дополнительные баллы к баллам испытаний;;;;;;;;;;;;;;;;;;;;;
bvi;[0, 1];поступает без вступительных экзаменов или с ними (если без них, то exam_score = 0;;;;;;;;;;;;;;;;;;;;;
contract;[0, 1];бюджет или контракт;;;;;;;;;;;;;;;;;;;;;
dormitory;[0, 1];не нуждается или нуждается в общежитии;;;;;;;;;;;;;;;;;;;;;
foreign;[0, 1];не иностранный абитуриент или иностранный;;;;;;;;;;;;;;;;;;;;;
gender;[0, 1];женщина или мужчина;;;;;;;;;;;;;;;;;;;;;
age;[15, 100];полных лет на момент поступления;;;;;;;;;;;;;;;;;;;;;
region;[0, 1];человек не из Свердловской или из неё;;;;;;;;;;;;;;;;;;;;;
city;[0, 1];человек не из Екатеринбурга или из него (если из Екатеринбурга, то region равно 1 и country равно Российская Федерация;;;;;;;;;;;;;;;;;;;;;
country;"Арабская Республика Египет', 'Габонская Республика', 'Йеменская Республика', 'Киргизская Республика', 'Китайская Народная Республика', 'Королевство Марокко', 'Народная Республика Бангладеш', 'Республика Азербайджан', 'Республика Армения', 'Республика Беларусь', 'Республика Гаити', 'Республика Индонезия', 'Республика Ирак', 'Республика Казахстан', 'Республика Камерун', 'Республика Колумбия', ""Республика Кот д'Ивуар"", 'Республика Куба', 'Республика Молдова', 'Республика Перу', 'Республика Судан', 'Республика Таджикистан', 'Республика Узбекистан', 'Российская Федерация', 'Сирийская Арабская Республика', 'Социалистическая Республика Вьетнам', 'Турецкая Республика', 'Туркменистан', 'Украина', 'Федеративная Демократическая Республика Эфиопия', 'Федеративная Республика Бразилия', 'Федеративная Республика Германия', 'Федеративная Республика Нигерия' (если нет в предложенных, то выбирайте ту, что рядом)";гражданство (страна);;;;;;;;;;;;;;;;;;;;;
competition;Основные места или Особая квота или Отельная квота или Целевая квота;вид конкурса;;;;;;;;;;;;;;;;;;;;;
Тип олимпиады;Не писал или ВОШ или ОШ;олимпиада, по которой человек поступил;;;;;;;;;;;;;;;;;;;;;
form;Очная или Заочная или Очно-заочная;форма освоения;;;;;;;;;;;;;;;;;;;;;
level;Бакалавр или Специалист;уровень подготовки;;;;;;;;;;;;;;;;;;;;;
Тип законченного учреждения;Школа или Военное учебное заведение или Высшее или Профильная школа или СПО;;;;;;;;;;;;;;;;;;;;;;
benefit;Нет или Всё что связано с боевыми действиями или Инвалидность или Квота для иностранных граждан или Сирота;Льгота;;;;;;;;;;;;;;;;;;;;;
direction;АА.ВВ.СС;код направления обучения;;;;;;;;;;;;;;;;;;;;;
Наименование дисциплины;'Иностранный язык', 'Информационные технологии и сервисы', 'История России', 'Математика', 'Основы проектной деятельности', 'Основы российской государственности', 'Прикладная физическая культура', 'Программирование', 'Физика', 'Элементарные основы физики', 'Основы личностного роста', 'Введение в специальность', 'Векторный анализ', 'Компьютерная и инженерная графика', 'Алгебра и геометрия', 'Алгебра', 'Геометрия', 'Информатика', 'Математический анализ', 'Алгоритмизация и программирование', 'Алгебра, геометрия и теория дифференциальных уравнений', 'Инженерная и компьютерная графика', 'Общевоинские уставы ВС РФ', 'Строевая подготовка', 'Дискретная математика и математическая логика', 'Основы редактирования', 'Русский язык', 'Современный русский язык', 'Стилистика русского языка', 'Язык делового общения';Дисциплина;;;;;;;;;;;;;;;;;;;;;
Оценка;5 или 4 или 3 или 2 или Зачёт или Незачёт или Недопуск или Недосдал или Неуважительная причина;Крайняя оценка за дисциплину;;;;;;;;;;;;;;;;;;;;;
Баллы;[0, 100];Крайний балл за дисциплину;;;;;;;;;;;;;;;;;;;;;
Количество пересдач;[0, 50];Количество пересдач за дисциплину;;;;;;;;;;;;;;;;;;;;;
