id_студента;priority;exam_score;achievement;contract;dormitory;foreign;gender;age;region;city;country;competition;Тип олимпиады;form;Тип законченного учреждения;benefit;direction;Наименование дисциплины;Оценка;Баллы;Количество пересдач
1;4;100;0;0;1;0;0;18;1;1;Российская Федерация;Основные места;Не писал;Очная;Высшее;Нет;09.03.01;Математические основы искусственного интеллекта;5;100;0
1;4;100;0;0;1;0;0;18;1;1;Российская Федерация;Основные места;Не писал;Очная;Высшее;Нет;09.03.01;Цифровые компетенции в научной деятельности;4;70;2
1;4;100;0;0;1;0;0;18;1;1;Российская Федерация;Основные места;Не писал;Очная;Высшее;Нет;09.03.01;Технологии интернета вещей;3;50;3
1;4;100;0;0;1;0;0;18;1;1;Российская Федерация;Основные места;Не писал;Очная;Высшее;Нет;09.03.01;Научный семинар по актуальным проблемам науки и производства;2;20;4
2;3;150;1;1;0;1;1;21;0;0;Федеративная Республика Германия;Отдельная квота;Не писал;Очная;Высшее;Сирота;09.03.02;Математические основы искусственного интеллекта;2;20;4
2;3;150;1;1;0;1;1;21;0;0;Федеративная Республика Германия;Отдельная квота;Не писал;Очная;Высшее;Сирота;09.03.02;Цифровые компетенции в научной деятельности;3;50;3
2;3;150;1;1;0;1;1;21;0;0;Федеративная Республика Германия;Отдельная квота;Не писал;Очная;Высшее;Сирота;09.03.02;Технологии интернета вещей;4;70;2
2;3;150;1;1;0;1;1;21;0;0;Федеративная Республика Германия;Отдельная квота;Не писал;Очная;Высшее;Сирота;09.03.02;Научный семинар по актуальным проблемам науки и производства;5;100;0
;;;;;;;;;;;;;;;;;;;;;
Пояснения к столбцам (удалить, перед отправкой файла на сайт);;;;;;;;;;;;;;;;;;;;;
id_студента;;Можно придумать любой id;;;;;;;;;;;;;;;;;;;
priority;[1, 10];приоритет выбранного направления обучения;;;;;;;;;;;;;;;;;;;
exam_score;[0, 150];;;;;;;;;;;;;;;;;;;;
achievement;[0, 50];дополнительные баллы к баллам испытаний;;;;;;;;;;;;;;;;;;;
contract;[0, 1];бюджет или контракт;;;;;;;;;;;;;;;;;;;
dormitory;[0, 1];не нуждается или нуждается в общежитии;;;;;;;;;;;;;;;;;;;
foreign;[0, 1];не иностранный абитуриент или иностранный;;;;;;;;;;;;;;;;;;;
gender;[0, 1];женщина или мужчина;;;;;;;;;;;;;;;;;;;
